Store,Product Url,Product Name
Woolworth,803520/sunrice-jasmine-fragrant-rice,Sunrice Jasmine Fragrant Rice 5kg
Coles,sunrice-thai-hom-mali-jasmine-white-rice,Sunrice Jasmine Fragrant Rice 5kg
